time,x,y,z,gx,gy,gz,barometer
0.142,-0.84,-0.38,0.35,-0.17,-0.07,-0.01,1007.33
0.288,-0.84,-0.36,0.36,-0.06,-0.02,0.03,1007.32
0.429,-0.84,-0.37,0.36,-0.03,-0.03,0.05,1007.32
0.583,-0.85,-0.34,0.40,0.08,0.06,-0.10,1007.39
0.725,-0.80,-0.27,0.40,0.12,0.03,-0.01,1007.34
0.84,-0.73,-0.28,0.24,-0.02,0.45,0.57,1007.40
0.983,-1.00,-0.45,0.15,0.36,1.17,0.18,1007.49
1.155,-1.10,-0.38,0.31,0.41,0.50,-1.30,1007.43
1.293,-1.03,-0.41,0.26,0.14,-0.61,-1.00,1007.37
1.427,-0.70,-0.30,0.30,0.24,-1.04,-0.30,1007.40
1.574,-0.70,-0.30,0.30,-0.12,-0.46,1.21,1007.35
1.7,-0.76,-0.34,0.33,-0.54,0.13,1.11,1007.35
1.859,-0.72,-0.40,0.22,-0.78,1.03,0.51,1007.28
1.973,-0.95,-0.47,0.16,-0.08,0.90,-0.03,1007.27
2.157,-1.11,-0.34,0.26,0.81,0.71,-0.95,1007.50
2.241,-1.10,-0.30,0.28,0.96,-0.31,-0.73,1007.41
2.498,-1.10,-0.30,0.28,0.96,-0.31,-0.73,1007.43
2.57,-0.75,-0.23,0.29,-0.12,-0.53,1.04,1007.28
2.709,-0.81,-0.28,0.30,-0.44,0.26,1.00,1007.34
2.867,-0.80,-0.32,0.22,-0.65,0.67,0.78,1007.36
3.007,-1.05,-0.32,0.10,-0.20,0.68,0.26,1007.42
3.155,-1.14,-0.33,0.23,0.81,0.59,-0.97,1007.35
3.288,-1.19,-0.29,0.20,1.08,-0.28,-1.20,1007.29
3.427,-0.81,-0.20,0.31,0.83,-1.09,-0.65,1007.35
3.579,-0.72,-0.19,0.31,-0.08,-0.87,1.14,1007.30
3.713,-0.75,-0.23,0.31,-0.51,-0.08,1.29,1007.28
3.858,-0.82,-0.30,0.22,-0.73,0.79,1.06,1007.25
3.99,-1.00,-0.31,0.21,-0.42,0.99,0.13,1007.36
4.127,-1.16,-0.35,0.21,0.44,0.75,-1.17,1007.28
4.279,-1.18,-0.30,0.21,1.18,-0.03,-1.38,1007.30
4.434,-0.85,-0.21,0.36,1.42,-1.21,-0.67,1007.30
4.493,-0.75,-0.19,0.37,0.48,-1.36,-0.11,1007.29
4.741,-0.75,-0.19,0.37,0.21,-1.36,0.43,1007.29
4.836,-0.63,-0.20,0.37,-0.59,0.39,1.33,1007.43
4.992,-0.91,-0.25,0.26,-0.57,1.37,0.98,1007.33
5.161,-1.19,-0.27,0.31,0.20,1.50,-0.77,1007.33
5.295,-1.16,-0.22,0.26,0.95,0.38,-1.45,1007.30
5.428,-1.05,-0.29,0.26,0.79,-0.70,-1.46,1007.32
5.567,-0.78,-0.18,0.41,0.74,-1.49,-0.04,1007.28
5.71,-0.67,-0.18,0.42,0.18,-1.23,1.33,1007.35
5.831,-0.59,-0.19,0.39,-0.06,-0.10,1.75,1007.39
5.964,-0.65,-0.19,0.30,-0.30,1.75,1.70,1007.35
6.118,-1.16,-0.28,0.27,0.06,1.70,0.56,1007.34
6.284,-1.26,-0.19,0.35,0.83,1.09,-1.31,1007.33
6.44,-1.18,-0.05,0.28,0.43,-1.05,-1.31,1007.30
6.588,-1.07,-0.17,0.31,0.33,-1.70,-0.40,1007.33
6.706,-0.68,-0.12,0.37,0.01,-1.69,0.91,1007.41
6.767,-0.68,-0.12,0.37,0.07,-1.12,1.51,1007.33
6.997,-0.68,-0.15,0.41,0.14,-0.48,1.64,1007.27
7.137,-0.79,-0.21,0.37,-0.16,1.75,0.62,1007.29
7.302,-1.11,-0.16,0.35,0.28,1.62,-0.78,1007.25
7.437,-1.18,-0.16,0.28,0.65,0.67,-1.53,1007.34
7.593,-1.15,-0.18,0.29,1.18,-0.43,-1.69,1007.37
7.712,-1.02,-0.16,0.37,0.88,-1.50,-0.52,1007.32
7.875,-0.71,-0.13,0.40,0.10,-1.47,1.50,1007.33
7.977,-0.63,-0.11,0.38,0.13,0.08,1.55,1007.25
8.123,-0.64,-0.09,0.42,-0.32,1.16,1.16,1007.22
8.269,-1.03,-0.18,0.40,-0.04,1.63,-0.06,1007.31
8.431,-1.10,-0.14,0.34,0.54,0.71,-1.36,1007.24
8.574,-1.13,-0.11,0.35,0.92,-0.64,-1.42,1007.29
8.708,-0.95,-0.17,0.45,0.53,-1.76,-0.72,1007.30
8.817,-0.87,-0.18,0.44,0.39,-2.08,-0.05,1007.34
8.975,-0.60,-0.18,0.57,0.54,-1.37,1.01,1007.25
9.027,-0.60,-0.18,0.57,0.54,-1.37,1.01,1007.22
9.298,-0.60,-0.18,0.57,0.56,-0.98,0.94,1007.22
9.465,-0.41,-0.08,0.85,-0.13,-0.12,0.10,1007.27
9.59,-0.40,-0.06,0.83,-0.13,0.05,-0.02,1007.27
9.704,-0.43,-0.06,0.85,0.10,0.13,-0.08,1007.41
9.875,-0.42,-0.04,0.87,0.08,0.02,-0.10,1007.31
10.007,-0.43,-0.04,0.85,0.03,0.03,-0.07,1007.32
10.148,-0.43,-0.05,0.85,-0.11,0.00,-0.08,1007.37
10.303,-0.42,-0.08,0.85,-0.05,-0.01,-0.01,1007.30
10.427,-0.42,-0.10,0.83,-0.06,-0.00,-0.03,1007.26
10.58,-0.43,-0.11,0.86,0.32,-0.10,-0.04,1007.32
