time,x,y,z,gx,gy,gz,barometer
0.251,-0.84,-0.37,0.35,-0.06,-0.02,0.03,1007.38
0.491,-0.84,-0.38,0.35,-0.06,-0.01,0.03,1007.25
0.755,-0.78,-0.27,0.30,0.08,-0.04,0.21,1007.34
0.983,-1.00,-0.45,0.15,0.36,1.17,0.18,1007.49
1.27,-1.05,-0.39,0.27,0.14,-0.61,-1.00,1007.35
1.491,-0.68,-0.29,0.30,0.26,-1.00,0.28,1007.22
1.747,-0.76,-0.34,0.33,-0.54,0.13,1.11,1007.35
1.973,-0.95,-0.47,0.16,-0.08,0.90,-0.03,1007.27
2.241,-1.10,-0.30,0.28,0.96,-0.31,-0.73,1007.41
2.5,-0.99,-0.30,0.30,0.58,-0.61,-0.61,1007.43
2.758,-0.66,-0.27,0.27,-0.44,0.26,1.00,1007.35
3.007,-1.05,-0.32,0.10,-0.20,0.68,0.26,1007.42
3.249,-1.19,-0.29,0.20,1.08,-0.28,-1.20,1007.38
3.506,-0.76,-0.18,0.31,0.37,-1.24,0.02,1007.30
3.782,-0.67,-0.24,0.27,-0.51,-0.08,1.29,1007.32
3.99,-1.00,-0.31,0.21,-0.42,0.99,0.13,1007.36
4.242,-1.18,-0.30,0.21,1.18,-0.03,-1.38,1007.33
4.493,-0.75,-0.19,0.37,0.48,-1.36,-0.11,1007.29
4.75,-0.70,-0.20,0.37,-0.19,-0.81,1.28,1007.38
4.992,-0.91,-0.25,0.26,-0.57,1.37,0.98,1007.33
5.259,-1.18,-0.24,0.31,0.95,0.38,-1.45,1007.30
5.497,-0.90,-0.23,0.36,1.01,-1.31,-0.75,1007.28
5.737,-0.67,-0.18,0.42,0.18,-1.23,1.33,1007.40
5.964,-0.65,-0.19,0.30,-0.30,1.75,1.70,1007.35
6.227,-1.20,-0.26,0.32,0.51,1.86,-0.72,1007.33
6.498,-1.17,-0.13,0.28,0.39,-1.42,-1.06,1007.25
6.767,-0.68,-0.12,0.37,0.07,-1.12,1.51,1007.33
7.0,-0.61,-0.15,0.40,-0.02,0.18,1.68,1007.39
7.24,-1.11,-0.16,0.35,0.28,1.62,-0.78,1007.25
7.487,-1.17,-0.17,0.27,0.79,0.05,-1.59,1007.34
7.768,-0.87,-0.12,0.42,0.18,-1.91,0.96,1007.32
7.977,-0.63,-0.11,0.38,0.13,0.08,1.55,1007.25
8.245,-1.03,-0.18,0.40,-0.04,1.63,-0.06,1007.30
8.5,-1.12,-0.12,0.34,0.54,0.71,-1.36,1007.26
8.747,-0.95,-0.17,0.45,0.53,-1.76,-0.72,1007.28
8.975,-0.60,-0.18,0.57,0.54,-1.37,1.01,1007.25
9.298,-0.60,-0.18,0.57,0.56,-0.98,0.94,1007.22
9.498,-0.40,-0.07,0.83,-0.06,-0.02,0.02,1007.36
9.73,-0.43,-0.06,0.85,0.10,0.13,-0.08,1007.32
10.007,-0.43,-0.04,0.85,0.03,0.03,-0.07,1007.32
10.244,-0.42,-0.08,0.85,-0.05,-0.01,-0.01,1007.24
10.498,-0.43,-0.12,0.84,-0.38,-0.11,-0.04,1007.32
